cazyfamily_name,cazyfamily_read_count,seq_amount,average_seq_length,FRKM
GH15,604,33,1949.3636363636363,92.9595838860478
GH13_26,873,29,2468.0689655172414,106.12239567620527
CBM50,3555,321,1121.177570093458,951.2951817378598
GT2,10450,1168,1150.9186643835617,2724.0918709944135
GT8,755,35,948.6857142857143,238.7672094011068
GH13,2097,18,2263.6666666666665,277.9303968548937
GH31,3143,162,2137.4444444444443,441.1635657564777
GH19,578,49,660.9795918367347,262.3553233204785
GH43_26,332,133,959.7218045112782,103.78696556746935
CBM40,230,29,2537.2758620689656,27.196326160597366
GT4,11952,833,1202.9783913565427,2980.8000920168106
GH43_10,460,12,1560.0,88.4674126977416
GH36,619,20,2181.3,85.13837220868209
GH0,1746,55,2434.8,215.14489183077325
GH161,619,2,3225.0,57.5852190073793
GH13_19,562,23,1932.1304347826087,87.2669840234524
GH2,2057,356,3132.3230337078653,197.0234140986454
GT51,4896,721,2286.5991678224686,642.3939776883342
CBM3,950,105,2611.504761904762,109.13973024837674
CBM41,1456,197,3745.8730964467004,116.61607166039167
CBM48,6007,392,2938.063775510204,613.4038622333695
GH13_14,532,13,7532.076923076923,21.190781742376892
GT9,978,73,1019.0958904109589,287.9213681603121
GT35,2778,292,2310.030821917808,360.79836404205605
GH13_23,406,13,1617.0,75.32967721524241
GH3,2908,145,2014.2620689655173,433.1402277036911
GH23,3199,356,876.7584269662922,1094.6729438717548
CBM6,880,64,2501.203125,105.55621337792897
GH115,22,2,2898.0,2.2775839437891885
CE1,216,41,1713.2926829268292,37.8244205741975
GH10,340,28,1670.357142857143,61.068840089647765
3.1.1.73,49,3,2754.0,5.338045078001459
GT83,479,29,1640.0689655172414,87.6240849227257
GT5,1239,39,1404.8461538461538,264.60170140425726
GH108,325,13,570.2307692307693,170.99476157948573
GH18,1112,194,2527.577319587629,131.9928573205257
GT0,807,56,1736.5714285714287,139.42189334915767
GH92,181,16,2304.375,23.565437812605342
GH42,781,22,1912.6363636363637,122.50920405361315
CBM13,512,32,1463.90625,104.93171930734037
GH5_25,236,6,1597.5,44.32219181982792
GH13_16,304,23,2121.6521739130435,42.988222670782584
GH73,1564,472,1016.1165254237288,461.7887271867252
GH25,326,184,1053.1141304347825,92.87359415721174
GT26,598,46,745.1739130434783,240.76515536924322
GT28,1554,256,1088.42578125,428.3534677028248
CBM5,848,40,2013.0,126.38693158555088
GH37,917,63,1601.857142857143,171.74956523418336
CE8,433,40,1261.35,102.99173578527922
CBM2,1376,54,1758.0555555555557,234.82045856604555
GH125,186,113,1298.0973451327434,42.988844846863024
GH65,1298,30,2214.1,175.88449386972727
GH4,1432,56,1314.9107142857142,326.73589367442173
GH24,763,27,760.3333333333334,301.07216129234274
CE2,62,7,2020.2857142857142,9.207229943012639
PL11_1,159,6,2231.5,21.377175662254697
GH13_20,958,4,1615.5,177.91339190790424
CBM73,453,45,1738.9333333333334,78.15654674851487
CBM0,617,13,1641.2307692307693,112.78870401809078
GH1,2286,501,1400.0299401197606,489.87919507292634
GH13_29,643,140,1617.4714285714285,119.26814038435779
GH13_31,275,132,1620.6136363636363,50.91002353212992
GH13_3,120,18,1993.8333333333333,18.05687063047719
GH57,686,11,1862.7272727272727,110.49049908744102
CBM32,1733,146,4356.760273972603,119.33971367634632
GH38,2064,204,2724.926470588235,227.25057879324453
GH63,143,24,2092.75,20.50070421653659
GH94,1313,19,4867.263157894737,80.93381103872585
GH112,59,12,2206.25,8.023195629708226
CE11,358,85,923.1176470588235,116.3525929503864
CBM20,312,93,2116.3225806451615,44.230599015850494
GH84,475,123,1996.5365853658536,71.37833770384152
GT1,781,65,1147.6153846153845,204.17603466654222
GH20,696,38,1782.3947368421052,117.15354681231307
GH43_12,142,8,1579.125,26.978756480857548
GH77,1084,195,1608.7076923076922,202.16326202018618
CBM59,10,1,2115.0,1.418533906963479
GT39,111,10,1575.6,21.136209232564177
CBM35,423,40,1902.6,66.70263151452444
GH88,194,98,1190.295918367347,48.89865103163005
GH51,186,19,1584.7894736842106,35.21206210204542
GH76,30,13,1157.5384615384614,7.775635919449933
CE4,1474,259,1193.930501930502,370.3979111972746
GH16_3,451,13,1586.5384615384614,85.28566296802107
GH13_18,641,16,1484.4375,129.55262149325878
GH126,51,13,1125.4615384615386,13.595325530517421
CE9,914,157,1145.3885350318471,239.4106451234843
