cazyfamily_name,cazyfamily_read_count,seq_amount,average_seq_length,FPKM
HMMER=GT2_Glycos_transf_2(3-127),79,1,738.0,32.11595363753292
HMMER=GH13_16(34-388),164,1,1656.0,29.71211781215896
Hotpep=GH13(5),164,1,1656.0,29.71211781215896
HMMER=CE8(93-420),323,1,1284.0,75.4723010804179
Hotpep=CE8(1),327,2,795.0,123.40442046861345
HMMER=GH13_10(123-436),484,1,1785.0,81.34993945110561
Hotpep=GH13(8)+CBM48(4),531,2,1801.5,88.4321833041321
Hotpep=CBM50(17),524,3,720.0,218.34783162935352
Hotpep=CE11(8),117,2,393.0,89.31890787471951
HMMER=CBM2(42-141)+PL11(166-745),128,1,2241.0,17.13634534998452
Hotpep=CE12(12)+PL11(1)+CBM2(38)+CBM35(24),329,3,2407.0,41.0081238534247
Hotpep=CBM50(4),508,2,984.0,154.8883333658233
HMMER=GH125(25-419),140,1,1287.0,32.63619967769124
Hotpep=GH125(1),161,2,888.0,54.39550375334112
Hotpep=CBM13(103),263,3,1629.0,48.437838740264
HMMER=GH31(239-668),588,1,2319.0,76.07232157731444
Hotpep=GH31(1),706,4,1288.5,164.3880981403801
Hotpep=CBM2(61),119,1,1116.0,31.99137153889814
HMMER=GH73(12-141),246,2,1204.5,61.27430522656942
Hotpep=GH73(6),246,2,1204.5,61.27430522656942
HMMER=GH4(6-185),362,1,1356.0,80.09381380445785
Hotpep=GH4(1),365,2,837.0,130.83306007504564
Hotpep=GH38(8),418,4,812.25,154.39621682107762
HMMER=GH13(118-509),358,1,2007.0,53.51625901024103
HMMER=GT4(250-409),85,1,1350.0,18.890143194396995
Hotpep=GT4(17),87,2,802.5,32.52552418078692
HMMER=GH24(3-129),240,1,444.0,162.17293044474368
Hotpep=GH24(43),240,1,444.0,162.17293044474368
HMMER=AA7(48-234),103,1,1482.0,20.85158697452491
HMMER=GT51(67-242),157,1,1977.0,23.825557737822866
Hotpep=GT51(14),157,1,1977.0,23.825557737822866
HMMER=CE1(384-604),115,1,1890.0,18.25518039794668
HMMER=GH9(2-221),23,1,1356.0,5.088833473763897
Hotpep=GH9(7)+CBM3(6),164,9,939.0,52.39964547064456
HMMER=CE2(160-363),24,1,1110.0,6.486917217789747
Hotpep=CE2(3)+GH5(99),24,1,1110.0,6.486917217789747
HMMER=GT51(63-226),617,1,2316.0,79.9275869845219
Hotpep=GT51(7),622,2,1335.0,139.78456259383265
HMMER=CE4(51-154),268,1,924.0,87.01876505898693
HMMER=GH4(5-185),314,1,1353.0,69.62768314512314
Hotpep=GH4(3),460,2,1351.5,102.11554850793704
HMMER=GH19(83-340)+CBM73(535-585),442,1,1764.0,75.17505965117174
Hotpep=GH19(2)+CBM5(35)+CBM73(1),442,1,1764.0,75.17505965117174
HMMER=GH13_20(47-341),314,1,1446.0,65.14955414616294
Hotpep=GH13(27)+CBM34(2),314,1,1446.0,65.14955414616294
HMMER=GH1(5-474),422,1,1434.0,88.29038130977085
Hotpep=GH1(1),565,2,1429.5,118.58080136227237
HMMER=GH31(229-665),539,1,2037.0,79.38671457681698
Hotpep=GH31(3),907,3,1490.0,182.62957626829373
HMMER=GT51(148-318),248,1,2337.0,31.837800807894055
Hotpep=GT51(2),248,1,2337.0,31.837800807894055
HMMER=GH3(56-278),259,1,1026.0,75.73602302397558
Hotpep=GH3(1),259,1,1026.0,75.73602302397558
Hotpep=CBM5(56),801,1,2997.0,80.18550449767883
Hotpep=GT26(29),361,4,1271.25,85.19739752017469
HMMER=CBM9(791-962),532,1,2904.0,54.96232718447547
HMMER=GT4(193-342),107,1,1122.0,28.611525473740652
Hotpep=GT4(30),107,1,1122.0,28.611525473740652
HMMER=GT2_Glycos_transf_2(49-174),69,1,1134.0,18.25518039794668
Hotpep=CBM50(58),113,1,1170.0,28.976282999550147
HMMER=GT2_Glycos_transf_2(10-96),546,1,2637.0,62.12016573463618
Hotpep=GT2(246),546,1,2637.0,62.12016573463618
HMMER=GT4(225-365),346,1,1221.0,85.0179302028505
Hotpep=GT4(5),358,3,764.0,140.58525109103894
HMMER=CE4(222-366),291,1,1215.0,71.8566231316278
HMMER=GH13_29(25-364),147,1,1629.0,27.073620892847178
Hotpep=GH13(44),147,1,1629.0,27.073620892847178
HMMER=GH57(1-418),306,1,1584.0,57.958393891899874
Hotpep=GH57(1),352,2,1597.5,66.10767593465859
HMMER=GT2_Glycos_transf_2(13-150),21,1,822.0,7.6647425155453695
Hotpep=GT2(26),21,1,822.0,7.6647425155453695
HMMER=GH151(53-158),125,1,2028.0,18.492352152537958
HMMER=GT35(262-641),255,1,2499.0,30.614277685997536
Hotpep=GT35(2),355,4,1456.5,73.125349858967
HMMER=GH23(209-354),290,1,1086.0,80.11581692781307
Hotpep=GH23(4),290,1,1086.0,80.11581692781307
HMMER=GT2_Glycos_transf_2(34-179),47,1,819.0,17.21726044221058
Hotpep=GT2(61),47,1,819.0,17.21726044221058
HMMER=GH23(442-583),164,1,1770.0,27.79845598696906
HMMER=GT2_Glycos_transf_2(246-428),654,1,2544.0,77.1277627928834
Hotpep=GT2(4),654,1,2544.0,77.1277627928834
HMMER=GT51(53-218),399,1,2055.0,58.2520431181448
Hotpep=GT51(55),399,1,2055.0,58.2520431181448
HMMER=GH85(1-215)+CBM32(514-633),96,1,2796.0,10.301113178464409
Hotpep=GH85(7)+CBM32(12),96,1,2796.0,10.301113178464409
HMMER=GH38(7-269),723,1,2631.0,82.44561121868755
Hotpep=GH38(2),723,1,2631.0,82.44561121868755
HMMER=CE1(177-391),331,1,1215.0,81.73382218752165
HMMER=GH57(7-424)+GT4(739-888),89,1,2778.0,9.611869329635368
Hotpep=GH57(1)+GT4(69),89,1,2778.0,9.611869329635368
Hotpep=CE0(3),199,1,759.0,78.6613495958266
HMMER=GH73(51-185),68,1,570.0,35.791850263068
Hotpep=GH73(35),68,1,570.0,35.791850263068
Hotpep=GT4(4),348,1,1224.0,85.29978155255392
HMMER=GH31(215-657),364,1,2022.0,54.009520950292
HMMER=GH109(8-114),81,1,1044.0,23.277407688836057
HMMER=CE11(4-276),245,1,918.0,80.07067617002187
Hotpep=CE11(1),245,1,918.0,80.07067617002187
HMMER=GH63(30-414),129,1,1272.0,30.426548624715473
Hotpep=GH63(4),129,1,1272.0,30.426548624715473
HMMER=GH85(117-442)+CBM32(804-930),98,1,3408.0,8.627333418319258
Hotpep=GH85(1)+CBM32(4),98,1,3408.0,8.627333418319258
